"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","100p","~","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","2",""
"C3,C4","0.3p","~","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","2",""
"C5","10p","~","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","1",""
"C6","1u","~","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","1",""
"C7","10u","~","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","1",""
"J1,J2","32K243-40ML5","32K243-40ML5","32K243-40ML5:CONN_32K243-40ML5_RBG","2",""
"J3,J4","Conn_01x02_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","2",""
"L1","33nH","~","Inductor_SMD:L_0603_1608Metric_Pad1.05x0.95mm_HandSolder","1",""
"U1","PMA3-83MP+","PMA3-83MP+","PMA3-83MP:DQ1225_MNC","1",""
